Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
3,0.1320,20.2108,15.4343,0,20.3335,15.4343,0,0.1228,0.1118,255,255
3,0.1301,5.7139,15.0325,0,5.8255,15.0548,0,0.1138,0.1192,255,255
3,0.1301,14.5303,15.4343,0,14.6419,15.4343,0,0.1116,0.0966,255,255
3,0.1282,0.4352,15.3450,0,0.5245,15.2669,0,0.1186,0.1166,255,255
3,0.1274,0.7031,15.2334,0,0.7142,15.3562,0,0.1233,0.1004,255,255
3,0.1255,0.0893,15.3004,0,0.1339,15.4008,0,0.1099,0.0966,255,255
3,0.1236,9.5306,15.3450,0,9.4414,15.4120,0,0.1116,0.1135,255,255
3,0.1208,2.4440,15.4231,0,2.5333,15.4231,0,0.0893,0.0895,255,255
3,0.1208,14.5303,15.4343,0,14.6419,15.4343,0,0.1116,0.1007,255,255
3,0.1189,10.3565,15.4343,0,10.4569,15.4343,0,0.1004,0.0854,255,255
3,0.1189,12.9902,15.4343,0,13.0907,15.4343,0,0.1004,0.0854,255,255
3,0.1143,17.5993,0.1116,0,17.6886,0.1562,0,0.0998,0.0889,255,255
3,0.1105,0.1786,13.6487,0,0.1004,13.5706,0,0.1105,0.1105,255,255
3,0.1105,22.7329,7.0085,0,22.8110,7.0866,0,0.1105,0.0789,255,255
3,0.1097,21.5500,14.1955,0,21.6504,14.2178,0,0.1029,0.1025,255,255
3,0.1097,0.2009,12.2090,0,0.2232,12.1086,0,0.1029,0.0788,255,255
3,0.1097,2.3436,15.4231,0,2.4440,15.4231,0,0.1004,0.0895,255,255
3,0.1097,10.3565,15.4343,0,10.4569,15.4343,0,0.1004,0.0895,255,255
3,0.1097,12.9902,15.4343,0,13.0907,15.4343,0,0.1004,0.0895,255,255
3,0.1097,22.7999,6.9973,0,22.8110,7.0866,0,0.0900,0.0670,255,255
3,0.1078,0.2344,11.2828,0,0.1451,11.2381,0,0.0998,0.1080,255,255
3,0.1051,20.2331,14.2848,0,20.3335,14.2960,0,0.1011,0.0783,255,255
3,0.1012,20.0434,14.9098,0,20.0992,14.9879,0,0.0960,0.0653,255,255
3,0.0985,2.4440,15.4231,0,2.5333,15.4231,0,0.0893,0.0783,255,255
3,0.0985,6.0264,15.2892,0,6.0487,15.1999,0,0.0920,0.0808,255,255
3,0.0966,21.7062,11.2381,0,21.6281,11.2828,0,0.0900,0.0935,255,255
3,0.0966,16.0258,15.4343,0,16.1039,15.4343,0,0.0781,0.0512,255,255
3,0.0939,0.4241,0.1786,0,0.5134,0.1674,0,0.0900,0.0781,255,255
3,0.0920,21.7062,11.3162,0,21.6281,11.2828,0,0.0850,0.0680,255,255
3,0.0901,22.6325,3.1471,0,22.6994,3.2029,0,0.0872,0.0917,255,255
3,0.0874,2.5333,15.4231,0,2.6003,15.4343,0,0.0679,0.0446,255,255
3,0.0874,16.0258,15.4343,0,16.1039,15.4343,0,0.0781,0.0560,255,255
3,0.0808,2.5333,15.4231,0,2.6003,15.4343,0,0.0679,0.0466,255,255
3,0.0781,16.3494,0.1228,0,16.3494,0.2009,0,0.0781,0.0446,255,255
3,0.0743,2.6561,15.4343,0,2.7119,15.4343,0,0.0558,0.0394,255,255
3,0.0743,11.6845,15.4343,0,11.7403,15.4343,0,0.0558,0.0269,255,255
3,0.0743,12.9010,15.4343,0,12.9568,15.4343,0,0.0558,0.0394,255,255
3,0.0743,22.2307,9.6869,0,22.2754,9.6311,0,0.0715,0.0417,255,255
3,0.0716,22.7329,7.0085,0,22.7999,6.9973,0,0.0679,0.0558,255,255
3,0.0650,22.6771,7.0308,0,22.7329,7.0085,0,0.0601,0.0589,255,255
3,0.0650,2.6561,15.4343,0,2.7119,15.4343,0,0.0558,0.0450,255,255
3,0.0650,11.6845,15.4343,0,11.7403,15.4343,0,0.0558,0.0341,255,255
3,0.0650,12.9010,15.4343,0,12.9568,15.4343,0,0.0558,0.0450,255,255
3,0.0631,11.7850,15.4343,0,11.8296,15.4343,0,0.0446,0.0269,255,255
3,0.0631,21.4718,12.1309,0,21.5165,12.0863,0,0.0631,0.0158,255,255
3,0.0604,0.6250,9.2851,0,0.6808,9.2740,0,0.0569,0.0335,255,255
3,0.0604,15.6798,0.5915,0,15.7356,0.6026,0,0.0569,0.0446,255,255
3,0.0558,2.6003,15.4343,0,2.6561,15.4343,0,0.0558,0.0446,255,255
3,0.0539,22.7776,11.2493,0,22.8222,11.2270,0,0.0499,0.0466,255,255
3,0.0539,0.6696,0.4352,0,0.6919,0.3906,0,0.0499,0.0348,255,255
3,0.0539,11.7850,15.4343,0,11.8296,15.4343,0,0.0446,0.0341,255,255
3,0.0493,0.0446,15.2892,0,0.0893,15.3004,0,0.0460,0.0223,255,255
3,0.0473,21.2263,11.5729,0,21.2598,11.5394,0,0.0473,0.0158,255,255
3,0.0446,11.7403,15.4343,0,11.7850,15.4343,0,0.0446,0.0335,255,255
3,0.0427,5.1113,0.0335,0,5.1448,0.0558,0,0.0402,0.0158,255,255
3,0.0381,1.7075,9.1847,0,1.7186,9.2182,0,0.0353,0.0341,255,255
3,0.0381,13.4590,0.1451,0,13.4924,0.1339,0,0.0353,0.0223,255,255
3,0.0381,15.6798,0.5915,0,15.6910,0.5580,0,0.0353,0.0158,255,255
3,0.0335,12.9568,15.4343,0,12.9902,15.4343,0,0.0335,0.0223,255,255
3,0.0335,19.6193,14.9209,0,19.6193,14.9544,0,0.0335,0.0112,255,255
3,0.0269,21.7732,12.1867,0,21.7508,12.1979,0,0.0250,0.0236,255,255
3,0.0223,22.8222,11.2046,0,22.8222,11.2270,0,0.0223,0.0000,0,0
3,0.0112,20.0992,14.5973,0,20.1103,14.5973,0,0.0112,0.0112,255,255
3,0.0112,21.1928,8.4258,0,21.2040,8.4258,0,0.0112,0.0112,255,255
4,0.0539,0.1897,6.8188,0,0.2344,6.8411,0,0.0499,0.0479,255,255
5,0.8298,1.8637,4.9439,0,1.2053,5.2117,0,0.7108,0.7662,255,255
5,0.3122,0.8370,5.8702,0,0.6138,5.8813,0,0.2235,0.2799,255,255
5,0.2975,0.4799,5.3791,0,0.5022,5.6581,0,0.2799,0.2708,255,255
5,0.2925,1.3280,5.5130,0,1.1048,5.3456,0,0.2790,0.2772,255,255
5,0.2906,0.5022,5.6581,0,0.7031,5.4572,0,0.2841,0.2765,255,255
5,0.2806,1.1160,5.4907,0,1.1941,5.6023,0,0.1362,0.2132,255,255
5,0.2740,0.2009,5.1782,0,0.4241,5.2564,0,0.2365,0.2529,255,255
5,0.2637,0.5245,5.7920,0,0.7142,5.6135,0,0.2605,0.2495,255,255
