 ,Area,Perim.,Circ.,AR,Round,Solidity,EqDiam_um,Image
279,302,72.4264,0.7235,1.3798,0.7248,0.8716,19.6091,young37.png
280,3766,295.8478,0.5407,2.3486,0.4258,0.8925,69.2461,young37.png
281,287,73.7401,0.6633,2.7832,0.3593,0.8804,19.1160,young37.png
282,85,40.9706,0.6363,3.0034,0.3330,0.9091,10.4031,young37.png
283,7,8.4853,1.0000,1.5964,0.6264,0.8750,2.9854,young37.png
284,1275,216.5513,0.3417,3.9322,0.2543,0.7046,40.2912,young37.png
285,2,4.8284,1.0000,2.0000,0.5000,1.0000,1.5958,young37.png
286,36,21.5563,0.9736,1.6769,0.5963,0.9000,6.7703,young37.png
287,255,65.2548,0.7525,1.3513,0.7400,0.8901,18.0188,young37.png
288,12495,722.6661,0.3007,2.7316,0.3661,0.8353,126.1314,young37.png
289,135,52.0416,0.6264,2.9382,0.3403,0.9184,13.1106,young37.png
290,125,41.4558,0.9140,1.2471,0.8018,0.9259,12.6157,young37.png
291,16,15.0711,0.8852,1.8733,0.5338,0.9412,4.5135,young37.png
292,16119,942.0458,0.2282,2.7239,0.3671,0.7296,143.2597,young37.png
293,326,101.6985,0.3961,5.2374,0.1909,0.8823,20.3734,young37.png
294,1066,127.4386,0.8248,1.4957,0.6686,0.9505,36.8412,young37.png
295,4873,557.4113,0.1971,4.1230,0.2425,0.5928,78.7686,young37.png
296,3265,516.4752,0.1538,4.0784,0.2452,0.5232,64.4758,young37.png
297,680,146.3675,0.3989,3.8948,0.2568,0.7628,29.4245,young37.png
298,287,65.5980,0.8381,1.5840,0.6313,0.9228,19.1160,young37.png
299,270,62.7696,0.8611,1.3980,0.7153,0.9278,18.5412,young37.png
300,804,128.4680,0.6122,2.3880,0.4188,0.9231,31.9951,young37.png
301,416,79.5980,0.8251,1.5332,0.6522,0.9412,23.0145,young37.png
302,730,153.8823,0.3874,4.7424,0.2109,0.8391,30.4871,young37.png
303,72,36.3848,0.6834,2.6250,0.3809,0.8944,9.5746,young37.png
304,513,93.0122,0.7452,2.0553,0.4865,0.9421,25.5572,young37.png
305,23,16.1421,1.0000,1.3140,0.7610,0.8846,5.4115,young37.png
306,14210,613.8305,0.4739,2.2333,0.4478,0.8638,134.5092,young37.png
307,452,106.1838,0.5038,3.8677,0.2586,0.9300,23.9897,young37.png
308,311,102.7696,0.3700,5.4227,0.1844,0.8451,19.8992,young37.png
