 ,Area,Perim.,Circ.,AR,Round,Solidity,EqDiam_um,Image
97,12,12.4853,0.9674,1.5786,0.6335,0.8889,3.9088,old 9.png
98,180,91.8823,0.2679,7.4760,0.1338,0.6239,15.1388,old 9.png
99,195,82.4264,0.3607,3.8863,0.2573,0.7065,15.7570,old 9.png
100,296,83.2548,0.5366,3.3544,0.2981,0.8469,19.4134,old 9.png
101,20,15.3137,1.0000,1.0829,0.9235,0.8889,5.0463,old 9.png
102,1473,238.5929,0.3252,1.7254,0.5796,0.6611,43.3068,old 9.png
103,1,2.8284,1.0000,1.0000,1.0000,1.0000,1.1284,old 9.png
104,291,65.6985,0.8472,1.5951,0.6269,0.9342,19.2487,old 9.png
105,39,23.5563,0.8832,1.5633,0.6397,0.8764,7.0467,old 9.png
106,5,7.6569,1.0000,1.5530,0.6439,0.9091,2.5231,old 9.png
107,668,144.2670,0.4033,1.6649,0.6006,0.7214,29.1637,old 9.png
108,42,31.7990,0.5220,3.0519,0.3277,0.8155,7.3127,old 9.png
109,247,80.5685,0.4782,3.0282,0.3302,0.7719,17.7339,old 9.png
110,509,102.4680,0.6092,1.7060,0.5862,0.8183,25.4574,old 9.png
111,5,7.6569,1.0000,1.5530,0.6439,0.9091,2.5231,old 9.png
112,200,52.2843,0.9194,1.2067,0.8287,0.9346,15.9577,old 9.png
113,1858,171.9239,0.7899,1.1825,0.8457,0.9311,48.6382,old 9.png
114,22,16.7279,0.9880,1.4748,0.6780,0.8800,5.2926,old 9.png
115,34,20.1421,1.0000,1.1273,0.8871,0.9189,6.5795,old 9.png
116,23,16.7279,1.0000,1.1821,0.8459,0.8846,5.4115,old 9.png
117,158,46.2843,0.9268,1.1239,0.8897,0.9240,14.1835,old 9.png
118,30,19.8995,0.9520,1.4564,0.6866,0.9231,6.1804,old 9.png
119,12,13.6569,0.8085,3.0000,0.3333,1.0000,3.9088,old 9.png
120,238,59.9411,0.8324,1.5325,0.6525,0.9297,17.4078,old 9.png
121,40,22.7279,0.9731,1.4081,0.7102,0.9412,7.1365,old 9.png
122,35,22.7279,0.8514,1.7624,0.5674,0.9091,6.6756,old 9.png
123,21,17.3137,0.8803,1.9360,0.5165,0.8750,5.1709,old 9.png
124,8,9.0711,1.0000,1.2286,0.8139,0.9412,3.1915,old 9.png
125,6,9.0711,0.9163,2.0817,0.4804,0.8571,2.7640,old 9.png
126,40,28.3848,0.6239,2.6711,0.3744,0.7921,7.1365,old 9.png
127,174,53.5980,0.7611,2.0789,0.4810,0.8810,14.8843,old 9.png
128,319,68.5269,0.8536,1.4223,0.7031,0.9424,20.1535,old 9.png
129,105,37.2132,0.9528,1.2833,0.7793,0.9251,11.5624,old 9.png
130,127,42.0416,0.9029,1.2269,0.8151,0.9170,12.7162,old 9.png
131,35,21.5563,0.9465,1.3959,0.7164,0.8750,6.6756,old 9.png
132,16206,1048.3717,0.1853,1.2089,0.8272,0.6928,143.6458,old 9.png
133,16,16.1421,0.7716,2.1181,0.4721,0.8205,4.5135,old 9.png
134,4945,452.9432,0.3029,2.9973,0.3336,0.7112,79.3484,old 9.png
135,3,5.6569,1.0000,1.4638,0.6831,0.8571,1.9544,old 9.png
136,2309,197.4802,0.7440,1.7674,0.5658,0.9405,54.2209,old 9.png
137,523,131.6396,0.3793,2.7362,0.3655,0.6923,25.8051,old 9.png
138,286,64.5269,0.8632,1.5145,0.6603,0.9392,19.0826,old 9.png
139,7,8.4853,1.0000,1.5964,0.6264,0.8750,2.9854,old 9.png
140,60,27.5563,0.9929,1.1360,0.8803,0.9231,8.7404,old 9.png
141,661,115.1960,0.6259,2.6484,0.3776,0.9168,29.0105,old 9.png
142,35,20.1421,1.0000,1.1399,0.8773,0.9211,6.6756,old 9.png
143,8,11.6569,0.7398,2.2324,0.4479,0.8889,3.1915,old 9.png
